
"Eutrophication: Exceedance of Critical Loads (all ecosystems)"
"Scenario: Base_v6b"
"Region: "
"Year: 2015"
"Unit: 1000 km2"
"UserID: StefanA"

"","","Total ecosystems area","% Total ecosystems area exc","Total AAE","Total forest area","% Forest area exc","Forest AAE","Total catchment area","% Catchment area exc","Catchment AAE","Total semi-natural area","% Semi-natural area exc","Semi-natural AAE",
"EU27 ","Austria","50.5","68.6","306.5","39.3","72.0","355.3","0.0","0.0","0.0","11.2","56.8","135.2",
"EU27 ","Belgium","15.6","67.7","832.6","12.8","67.3","934.4","0.1","43.6","116.1","2.6","70.9","367.6",
"EU27 ","Bulgaria","54.3","87.8","258.2","37.2","82.2","166.5","0.0","0.0","0.0","17.1","100.0","457.8",
"EU27 ","Croatia","36.4","90.9","478.4","19.8","83.2","355.1","0.0","0.0","0.0","16.6","100.0","624.7",
"EU27 ","Cyprus","1.7","100.0","371.1","0.7","100.0","404.0","0.0","0.0","0.0","1.0","100.0","350.1",
"EU27 ","Czech Republic","23.8","95.4","521.1","23.7","95.4","522.0","0.0","0.0","0.0","0.1","91.6","330.0",
"EU27 ","Denmark","6.7","100.0","924.6","3.8","100.0","925.4","0.0","0.0","0.0","2.9","100.0","923.5",
"EU27 ","Estonia","30.6","43.3","64.2","21.6","19.9","11.6","0.0","0.0","0.0","8.9","100.0","191.5",
"EU27 ","Finland","41.0","10.2","6.2","17.3","4.0","5.4","6.8","51.3","23.8","17.0","0.1","0.1",
"EU27 ","France","176.9","85.3","401.4","170.2","85.4","407.4","0.0","0.0","0.0","6.7","82.6","250.2",
"EU27 ","Germany","104.0","80.0","789.7","100.8","80.6","798.8","0.1","35.7","101.3","3.1","59.8","511.7",
"EU27 ","Greece","77.8","100.0","456.6","24.5","99.9","473.4","0.0","0.0","0.0","53.4","100.0","448.9",
"EU27 ","Hungary","30.0","92.4","574.1","17.3","86.9","413.0","0.0","0.0","0.0","12.7","100.0","794.8",
"EU27 ","Ireland","16.8","48.7","148.3","6.7","44.6","182.5","0.4","47.8","84.7","9.6","51.7","127.2",
"EU27 ","Italy","105.8","71.9","380.7","71.3","75.1","433.0","0.4","83.3","787.5","34.2","64.9","266.9",
"EU27 ","Latvia","44.2","91.0","210.2","27.1","85.3","130.9","0.0","0.0","0.0","17.1","100.0","335.7",
"EU27 ","Lithuania","26.4","98.8","414.2","18.7","98.2","378.9","0.0","0.0","0.0","7.6","100.0","501.0",
"EU27 ","Luxembourg","1.4","100.0","1037.4","0.9","100.0","1049.6","0.0","0.0","0.0","0.5","100.0","1012.8",
"EU27 ","Malta","0.0","100.0","516.3","0.0","100.0","294.8","0.0","0.0","0.0","0.0","100.0","529.9",
"EU27 ","Netherlands","3.0","87.6","1159.9","2.0","97.0","1451.8","0.4","43.2","298.6","0.6","85.6","724.2",
"EU27 ","Poland","95.9","75.0","364.5","94.4","74.8","364.6","0.0","0.0","0.0","1.5","83.0","358.5",
"EU27 ","Portugal","42.0","86.9","234.1","22.9","76.0","195.5","0.0","0.0","0.0","19.1","100.0","280.2",
"EU27 ","Romania","109.3","94.5","400.9","71.6","91.6","315.3","0.0","0.0","0.0","37.8","100.0","563.1",
"EU27 ","Slovak Republic","26.8","96.2","462.5","20.7","95.0","430.4","0.0","0.0","0.0","6.1","100.0","570.5",
"EU27 ","Slovenia","14.1","87.7","497.1","11.0","84.3","406.9","0.0","0.0","0.0","3.1","100.0","818.0",
"EU27 ","Spain","251.9","96.2","443.7","91.5","89.4","406.8","0.0","0.0","0.0","160.4","100.0","464.8",
"EU27 ","Sweden","58.6","14.3","34.1","0.0","0.0","0.0","0.0","0.0","0.0","58.6","14.3","34.1",
"EU27 Total","","1445.6","80.9","399.1","927.8","80.6","412.8","8.2","52.0","80.5","509.5","81.9","379.3",
"NON EU27 ","Albania","20.0","97.6","481.1","7.4","93.4","305.8","0.0","0.0","0.0","12.5","100.0","585.0",
"NON EU27 ","Belarus","66.5","100.0","485.6","59.6","100.0","476.7","0.0","0.0","0.0","6.9","100.0","563.4",
"NON EU27 ","Bosnia and Herzegovina","37.0","76.5","307.4","22.6","61.6","236.9","0.0","0.0","0.0","14.4","100.0","418.0",
"NON EU27 ","Kosovo","4.7","90.3","304.0","4.0","88.6","267.3","0.0","0.0","0.0","0.7","100.0","504.7",
"NON EU27 ","North Macedonia","16.9","84.6","273.8","8.3","68.7","141.5","0.0","0.0","0.0","8.6","100.0","402.4",
"NON EU27 ","Republic of Moldova","3.8","99.8","352.6","1.8","99.6","225.0","0.0","0.0","0.0","1.9","100.0","472.4",
"NON EU27 ","Montenegro","9.1","70.4","186.6","6.1","56.0","81.6","0.0","0.0","0.0","3.0","100.0","402.1",
"NON EU27 ","Norway","303.4","11.9","23.7","124.6","21.5","44.9","23.6","20.1","36.5","155.2","3.0","4.8",
"NON EU27 ","Russia","643.1","49.5","75.7","518.7","48.4","74.4","0.0","0.0","0.0","124.4","54.3","81.1",
"NON EU27 ","Serbia","33.1","93.0","553.3","19.8","88.4","384.2","0.0","0.0","0.0","13.3","100.0","805.9",
