Premature mortality due to PM2.5,,,,,,,
Scenario: Base_v5a,,,,,,,
Region: ,,,,,,,
Year: 2015,,,,,,,
"Unit: -,mln people, μg/m3, mln years,cases,cases",,,,,,,
UserID: StefanA,,,,,,,
,,,,,,,
,,Total Population (2010),Mean PM<sub>2.5</sub><br>concentration,YOLL,Months lost,Premature deaths static, Premature deaths
EU27 ,Austria,8.41,12.05,103819,8.29,6931,7269
EU27 ,Belgium,10.94,13.78,160266,9.74,10880,11242
EU27 ,Bulgaria,7.41,14.2,146868,11.46,11842,11588
EU27 ,Croatia,4.33,16.93,89078,13.67,6539,6747
EU27 ,Cyprus,1.11,9.15,7131,6.68,496,525
EU27 ,Czech Republic,10.54,15.49,177996,12.05,12399,12667
EU27 ,Denmark,5.55,7.89,45420,5.85,3281,3152
EU27 ,Estonia,1.33,5.79,9859,4.75,737,669
EU27 ,Finland,5.37,4.1,23351,2.89,1521,1583
EU27 ,France,63.03,10.54,693660,7.47,42072,44114
EU27 ,Germany,80.89,10.96,1018780,7.75,69378,73119
EU27 ,Greece,11.45,14.45,172306,10.38,11464,12479
EU27 ,Hungary,9.93,16.79,221575,14.4,16628,15680
EU27 ,Ireland,4.63,4.79,15666,3.23,990,1029
EU27 ,Italy,59.73,16.62,1062999,11.24,72066,76296
EU27 ,Latvia,2.12,9.75,29763,8.38,2326,2142
EU27 ,Lithuania,3.12,8.91,40295,7.85,2988,2702
EU27 ,Luxembourg,0.51,11.32,5035,7.38,334,336
EU27 ,Malta,0.42,10.28,3878,7.53,256,282
EU27 ,Netherlands,16.68,12.72,191452,8.81,12971,13298
EU27 ,Poland,38.32,17.4,766812,14.62,48362,49240
EU27 ,Portugal,10.65,8.08,93453,5.65,6311,6565
EU27 ,Romania,20.44,15.78,409505,13.47,30497,29487
EU27 ,Slovak Republic,5.4,13.36,75853,11.08,5294,5204
EU27 ,Slovenia,2.04,16.08,33755,11.65,2237,2293
EU27 ,Spain,46.79,9.61,426414,6.37,27909,28935
EU27 ,Sweden,9.39,5.03,46511,3.29,3455,3423
EU27 Total,,440.53,12.54,6071498,9.22,410165,422067
NON EU27 ,Albania,2.94,21.15,43696,16.09,3033,3061
NON EU27 ,Armenia,2.88,16.2,47235,14.64,3295,3318
NON EU27 ,Azerbaijan,9.03,9.69,61080,8.62,3630,3942
NON EU27 ,Belarus,9.47,10.62,145786,9.78,11368,10035
NON EU27 ,Bosnia and Herzegovina,3.72,24.12,94785,20.04,6293,6809
NON EU27 ,Georgia,4.23,15.82,79583,13.29,5811,6267
NON EU27 ,Iceland,0.32,2.79,639,1.87,40,43
NON EU27 ,Kazakhstan,16.4,24.02,392991,22.33,26753,25205
NON EU27 ,Kosovo,1.83,30.96,24067,24.46,1903,1875
NON EU27 ,Kyrgyzstan,5.42,13.48,50997,12.14,3454,3198
NON EU27 ,North Macedonia,2.07,20.51,38786,16.2,2924,3040
NON EU27 ,Republic of Moldova,4.08,13.94,64978,12.46,5102,4738
NON EU27 ,Montenegro,0.62,21.35,13001,16.96,1011,965
NON EU27 ,Norway,4.89,3.46,15085,2.27,1085,1070
NON EU27 ,Russia European part,106.05,8.99,1457426,8.43,103320,93376
NON EU27 ,Serbia,7.2,19.09,187586,15.7,14832,14618
NON EU27 ,Switzerland,7.83,10.51,74573,6.63,4817,5142
NON EU27 ,Tajikistan,7.64,11.96,45338,11.2,2355,2612
NON EU27 ,Turkmenistan,5.09,8.47,31058,8.05,1655,1801
NON EU27 ,Turkey,72.33,21.45,1019223,16.88,56724,62187
NON EU27 ,Ukraine,45.79,10.16,713941,9.16,56309,50871
NON EU27 ,United Kingdom,63.31,8.71,548232,6.22,37666,37781
NON EU27 ,Uzbekistan,28.61,11.36,199363,10.71,11308,12184
NON EU27 Total,,411.76,12.89,5349450,10.93,364689,354140
