Premature mortality due to PM2.5,,,,,,,
Scenario: Base_v6b,,,,,,,
Region: ,,,,,,,
Year: 2015,,,,,,,
"Unit: -,mln people, μg/m3, mln years,cases,cases",,,,,,,
UserID: StefanA,,,,,,,
,,,,,,,
,,Total Population (2010),Mean PM<sub>2.5</sub><br>concentration,YOLL,Months lost,Premature deaths static, Premature deaths
EU27 ,Austria,8.41,12.06,103912,8.3,6938,7275
EU27 ,Belgium,10.94,13.67,158984,9.67,10793,11152
EU27 ,Bulgaria,7.41,14.17,146576,11.44,11819,11565
EU27 ,Croatia,4.33,16.87,88768,13.62,6516,6724
EU27 ,Cyprus,1.11,9.6,7482,7.01,520,550
EU27 ,Czech Republic,10.54,15.47,177720,12.03,12380,12647
EU27 ,Denmark,5.55,7.83,45083,5.81,3257,3129
EU27 ,Estonia,1.33,5.8,9865,4.75,737,670
EU27 ,Finland,5.37,4.12,23467,2.91,1529,1590
EU27 ,France,63.03,10.48,689949,7.43,41847,43878
EU27 ,Germany,80.89,10.91,1014439,7.71,69082,72808
EU27 ,Greece,11.45,14.48,172706,10.4,11491,12508
EU27 ,Hungary,9.93,16.77,221289,14.38,16607,15660
EU27 ,Ireland,4.63,4.63,15135,3.12,956,995
EU27 ,Italy,59.73,16.6,1061731,11.23,71980,76205
EU27 ,Latvia,2.12,9.75,29764,8.38,2326,2142
EU27 ,Lithuania,3.12,8.91,40262,7.84,2986,2700
EU27 ,Luxembourg,0.51,11.3,5024,7.37,333,335
EU27 ,Malta,0.42,10.27,3876,7.53,256,282
EU27 ,Netherlands,16.68,12.6,189629,8.73,12848,13171
EU27 ,Poland,38.32,17.38,765986,14.6,48310,49187
EU27 ,Portugal,10.65,8.1,93689,5.66,6327,6582
EU27 ,Romania,20.44,15.76,409109,13.46,30467,29459
EU27 ,Slovak Republic,5.4,13.34,75742,11.06,5286,5197
EU27 ,Slovenia,2.04,16.06,33715,11.64,2234,2291
EU27 ,Spain,46.79,9.6,426105,6.37,27889,28914
EU27 ,Sweden,9.39,5.02,46431,3.28,3449,3417
EU27 Total,,440.53,12.5,6056436,9.19,409163,421032
NON EU27 ,Albania,2.94,20.8,42973,15.82,2982,3011
NON EU27 ,Armenia,2.88,14.6,42581,13.2,2970,2991
NON EU27 ,Azerbaijan,9.03,10.06,63434,8.95,3770,4094
NON EU27 ,Belarus,9.47,10.65,146171,9.81,11398,10062
NON EU27 ,Bosnia and Herzegovina,3.72,23.98,94225,19.92,6256,6769
NON EU27 ,Georgia,4.23,18.46,92866,15.51,6781,7313
NON EU27 ,Iceland,0.32,2.79,639,1.87,40,43
NON EU27 ,Kazakhstan,16.4,25.08,410398,23.32,27938,26321
NON EU27 ,Kosovo,1.83,30.74,23896,24.29,1889,1862
NON EU27 ,Kyrgyzstan,5.42,15.44,58439,13.91,3958,3665
NON EU27 ,North Macedonia,2.07,18.16,34345,14.35,2589,2692
NON EU27 ,Republic of Moldova,4.08,13.94,64984,12.46,5102,4738
NON EU27 ,Montenegro,0.62,25.08,15278,19.93,1188,1134
NON EU27 ,Norway,4.89,3.45,15054,2.27,1082,1068
NON EU27 ,Russia European part,106.05,9.14,1481077,8.57,104996,94892
NON EU27 ,Serbia,7.2,19,186712,15.63,14763,14550
NON EU27 ,Switzerland,7.83,10.49,74500,6.62,4812,5137
NON EU27 ,Tajikistan,7.64,11.94,45268,11.18,2351,2608
NON EU27 ,Turkmenistan,5.09,8.53,31241,8.1,1665,1812
NON EU27 ,Turkey,72.33,21.75,1033611,17.11,57525,63064
NON EU27 ,Ukraine,45.79,10.31,724354,9.29,57131,51613
NON EU27 ,United Kingdom,63.31,8.06,507533,5.76,34870,34976
NON EU27 ,Uzbekistan,28.61,11.5,201840,10.84,11449,12336
NON EU27 Total,,411.76,12.99,5391419,11.03,367508,356751
