
"Eutrophication: Exceedance of Critical Loads (all ecosystems)"
"Scenario: Base_v5a"
"Region: "
"Year: 2015"
"Unit: 1000 km2"
"UserID: StefanA"

"","","Total ecosystems area","% Total ecosystems area exc","Total AAE","Total forest area","% Forest area exc","Forest AAE","Total catchment area","% Catchment area exc","Catchment AAE","Total semi-natural area","% Semi-natural area exc","Semi-natural AAE",
"EU27 ","Austria","50.5","65.7","271.5","39.3","69.3","313.6","0.0","0.0","0.0","11.2","53.0","123.9",
"EU27 ","Belgium","15.6","67.6","838.5","12.8","67.2","940.4","0.1","43.6","121.9","2.6","71.1","373.0",
"EU27 ","Bulgaria","54.3","87.8","258.4","37.2","82.2","167.0","0.0","0.0","0.0","17.1","100.0","457.5",
"EU27 ","Croatia","36.4","90.9","473.1","19.8","83.2","348.8","0.0","0.0","0.0","16.6","100.0","620.8",
"EU27 ","Cyprus","1.7","100.0","374.2","0.7","100.0","408.0","0.0","0.0","0.0","1.0","100.0","352.7",
"EU27 ","Czech Republic","23.8","95.3","516.1","23.7","95.4","517.0","0.0","0.0","0.0","0.1","91.6","326.0",
"EU27 ","Denmark","6.7","100.0","931.9","3.8","100.0","933.2","0.0","0.0","0.0","2.9","100.0","930.1",
"EU27 ","Estonia","30.6","43.5","64.7","21.6","20.1","11.9","0.0","0.0","0.0","8.9","100.0","192.5",
"EU27 ","Finland","41.0","10.2","6.3","17.3","4.1","5.5","6.8","51.3","24.4","17.0","0.1","0.1",
"EU27 ","France","176.9","85.3","403.3","170.2","85.4","409.3","0.0","0.0","0.0","6.7","82.6","251.5",
"EU27 ","Germany","104.0","79.9","790.1","100.8","80.6","799.2","0.1","35.7","104.4","3.1","59.8","513.3",
"EU27 ","Greece","77.8","100.0","460.4","24.5","99.9","478.5","0.0","0.0","0.0","53.4","100.0","452.1",
"EU27 ","Hungary","30.0","91.4","542.1","17.3","85.2","380.0","0.0","0.0","0.0","12.7","100.0","764.2",
"EU27 ","Ireland","16.8","48.8","151.2","6.7","44.7","186.2","0.4","47.8","87.0","9.6","51.7","129.6",
"EU27 ","Italy","105.8","71.9","380.6","71.3","75.2","432.9","0.4","82.9","787.0","34.2","64.9","266.8",
